Product_Name, Pricing, Ratings, Link 
Milton Flip 1000 ml Bottle,Rs.799,4.3,https://www.flipkart.com/milton-flip-1000-ml-bottle/p/itmfb4rphybqhgy8?pid=BOTFB4Q3JGE4WJFY&lid=LSTBOTFB4Q3JGE4WJFYW0DHLC&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTFB4Q3JGE4WJFY.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Prestige Tattva Copper Bottle TCB 02 1000 ml Bottle,Rs.849,4.1,https://www.flipkart.com/prestige-tattva-copper-bottle-tcb-02-1000-ml/p/itmfbvz3gk4c6axt?pid=BOTFBU5VUZURYY2Z&lid=LSTBOTFBU5VUZURYY2ZDJ25FA&marketplace=FLIPKART&srno=s_1_23&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTFBU5VUZURYY2Z.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
EFL STEEL02 1000 ml Bottle,Rs.465,3.8,https://www.flipkart.com/efl-steel02-1000-ml-bottle/p/itmfd2xsu7d6fqb6?pid=BOTFD2U6DNERKDGB&lid=LSTBOTFD2U6DNERKDGBOETW6X&marketplace=FLIPKART&srno=s_1_24&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTFD2U6DNERKDGB.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Tuelip Stainless Steel Water Bottle For College|School|Gym & Sports Water Bottle 750 ML Green 750 ml Water Bottle,Rs.339,4,https://www.flipkart.com/tuelip-stainless-steel-water-bottle-college-school-gym-sports-750-ml-green/p/itmf9a252mahnqfg?pid=WBTF99ZQ8SZVTAFS&lid=LSTWBTF99ZQ8SZVTAFSV4BBCT&marketplace=FLIPKART&srno=s_1_25&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.WBTF99ZQ8SZVTAFS.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Tuelip Combo Of 2 Stainless Steel Water Bottle For School Going Kids Girls & Boys|College Water Bottle 650 ML- (Multi Color) 650 ml Water Bottles,Rs.499,3.8,https://www.flipkart.com/tuelip-combo-2-stainless-steel-water-bottle-school-going-kids-girls-boys-college-650-ml-multi-color-ml-bottles/p/itmf9cyzcyetddyz?pid=WBTF9CVHUCQWXWVY&lid=LSTWBTF9CVHUCQWXWVYOAYBYK&marketplace=FLIPKART&srno=s_1_26&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.WBTF9CVHUCQWXWVY.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
D&V ENGINEERING WATER BOTTLE/DISPENSER/CAN STAND WITH GLASS HOLDER FOR OFFICE AND HOME (20 LTR WHITE-MEDIUM) Iron Wall Shelf,Rs.895,4.2,https://www.flipkart.com/d-v-engineering-water-bottle-dispenser-can-stand-glass-holder-office-home-20-ltr-white-medium-iron-wall-shelf/p/itmf6fhxdajgxg93?pid=RSFF6F8FA7FDDZHZ&lid=LSTRSFF6F8FA7FDDZHZIKOYWP&marketplace=FLIPKART&srno=s_1_27&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.RSFF6F8FA7FDDZHZ.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Cello venice_v6 1000 ml Bottle,Rs.589,4.5,https://www.flipkart.com/cello-venice-v6-1000-ml-bottle/p/itmf75h2snvqyybn?pid=BOTF75JPGMR7NGQU&lid=LSTBOTF75JPGMR7NGQUOIZPO8&marketplace=FLIPKART&srno=s_1_28&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTF75JPGMR7NGQU.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Cello Venice 1000 ml Fridge Bottle Multicolor 1000 ml Bottle,Rs.250,4.4,https://www.flipkart.com/cello-venice-1000-ml-fridge-bottle-multicolor/p/itmfadvggbydjkmq?pid=BOTFADTKUKCKUMJY&lid=LSTBOTFADTKUKCKUMJYKS8HXB&marketplace=FLIPKART&srno=s_1_29&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTFADTKUKCKUMJY.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Milton duo dlx bottles 1000 ml Bottle,Rs.907,4.4,https://www.flipkart.com/milton-duo-dlx-bottles-1000-ml-bottle/p/itmeh22ebhf627jq?pid=WBTEH22ERHEGTQJA&lid=LSTWBTEH22ERHEGTQJARFZVXF&marketplace=FLIPKART&srno=s_1_30&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.WBTEH22ERHEGTQJA.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Cello Venice Set of 5 1000 ml Bottle,Rs.430,4.5,https://www.flipkart.com/cello-venice-set-5-1000-ml-bottle/p/itmfekqwrca5yhgt?pid=BOTFEKNEM9UFVZ5X&lid=LSTBOTFEKNEM9UFVZ5XCTD6D0&marketplace=FLIPKART&srno=s_1_31&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTFEKNEM9UFVZ5X.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Milton Flip Lid Alloy Thermosteel with Sling Bag| (Silver) (24 Hrs Hot and Cold) 930 ml Bottle,Rs.799,4.4,https://www.flipkart.com/milton-flip-lid-alloy-thermosteel-sling-bag-silver-24-hrs-hot-cold-930-ml-bottle/p/itmff2hmf5gyzhya?pid=BOTFFFPSHGZYMEKD&lid=LSTBOTFFFPSHGZYMEKDW7NVSQ&marketplace=FLIPKART&srno=s_1_32&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTFFFPSHGZYMEKD.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Cello vVenice Bottle| BPA Free Set of 5 1000 ml Bottle (Pack of 5| Orange) 1000 ml Bottle,Rs.420,4.5,https://www.flipkart.com/cello-vvenice-bottle-bpa-free-set-5-1000-ml-bottle-pack-5-orange/p/itmffjchzamwy2ka?pid=BOTFFGRY72G9BPNR&lid=LSTBOTFFGRY72G9BPNRTKHILF&marketplace=FLIPKART&srno=s_1_33&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTFFGRY72G9BPNR.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Thermon Super Deluxe(Multi-Colour) Non -electrical 1 L Hot Water Bag,Rs.99,3.9,https://www.flipkart.com/thermon-super-deluxe-multi-colour-non-electrical-1-l-hot-water-bag/p/itmezbwcyuchuaeb?pid=HWBEZAQAHME2ZKE9&lid=LSTHWBEZAQAHME2ZKE9GR3WAA&marketplace=FLIPKART&srno=s_1_34&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.HWBEZAQAHME2ZKE9.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Tuelip Set Of 2 Stainless Steel Water Bottle For School Going Kids Girls & Boys|College|Gym|Sports Water Bottle 750 ML- freezer Bottle 750 ml Water Bottles,Rs.561,4,https://www.flipkart.com/tuelip-set-2-stainless-steel-water-bottle-school-going-kids-girls-boys-college-gym-sports-750-ml-freezer-ml-bottles/p/itmf98y8cjz9gghs?pid=WBTF98UAMCWDQJVX&lid=LSTWBTF98UAMCWDQJVXMQSCFJ&marketplace=FLIPKART&srno=s_1_35&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.WBTF98UAMCWDQJVX.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
cristy Bottle cover Jute Bag for water bottle carry bag & wine bag /gift bag set of 03| CR33 CR33,Rs.298,4,https://www.flipkart.com/cristy-bottle-cover-jute-bag-water-carry-wine-gift-set-03-cr33/p/itmfggzyyewcbpzp?pid=GCVFGEK2YZQDJM6G&lid=LSTGCVFGEK2YZQDJM6G0DB7CO&marketplace=FLIPKART&srno=s_1_36&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.GCVFGEK2YZQDJM6G.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Cello H2O 1000 ml Bottle,Rs.150,4.4,https://www.flipkart.com/cello-h2o-1000-ml-bottle/p/itmfbhupuqt9tzyt?pid=BOTFBHUZFQGGY2US&lid=LSTBOTFBHUZFQGGY2USWFLRGN&marketplace=FLIPKART&srno=s_1_37&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTFBHUZFQGGY2US.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Milton Pacific Red and Green Plastic Fridge Water Bottle Set of 12 1000 ml Bottle,Rs.379,4.3,https://www.flipkart.com/milton-pacific-red-green-plastic-fridge-water-bottle-set-12-1000-ml/p/itmfgzzeyu6npxuz?pid=BOTFGZRAMH5BAGJZ&lid=LSTBOTFGZRAMH5BAGJZQMQCOD&marketplace=FLIPKART&srno=s_1_38&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTFGZRAMH5BAGJZ.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Nayasa Super Plastic Turtle Bottle 1000 ml Bottle,Rs.378,4.3,https://www.flipkart.com/nayasa-super-plastic-turtle-bottle-1000-ml/p/itmdddf1ef1ab339?pid=BOTFJHXPKUSYXERV&lid=LSTBOTFJHXPKUSYXERVOXPGWZ&marketplace=FLIPKART&srno=s_1_39&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTFJHXPKUSYXERV.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
Nayasa WATER ml 1500 ml Bottle,Rs.240,4.3,https://www.flipkart.com/nayasa-water-ml-1500-bottle/p/itmf4gqn9zhgh4ck?pid=BOTF4GEPCWHEQFHB&lid=LSTBOTF4GEPCWHEQFHBU8IH7C&marketplace=FLIPKART&srno=s_1_40&otracker=search&fm=organic&iid=2cf986f2-ed34-4b79-a389-46634ee3d5b1.BOTF4GEPCWHEQFHB.SEARCH&ssid=m4ksj03qz40000001589389895968&qH=a93f537856ae22d4
